Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly Salary,min_salary,max_salary,Average Salary,Job state,Company_age
Data Scientist,USD 132K - USD 172K,4.1,US Office of Justice Programs,United States,10000+ Employees,1870,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,132,172,152.0,ES,154.0
Data Scientist - Remote,USD 98K - USD 166K,3.5,Ulta Beauty,"Bolingbrook, IL",10000+ Employees,1990,Company - Public,Beauty & Personal Accessories Stores,Retail & Wholesale,$5 to $10 billion (USD),0,98,166,132.0,IL,34.0
"Data Scientist, Online (Remote)",USD 63K - USD 103K ,3.8,Home Depot / THD,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,63,103,83.0,GA,46.0
Remote Business Intelligence Analyst,USD 100K - USD 110K,3.3,Design Pickle,Remote,51 to 200 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),0,100,110,105.0,Remote,9.0
Data Scientist,USD 114K - USD 141K,3.5,Blue Cross Blue Shield of Massachusetts,"Boston, MA",1001 to 5000 Employees,1937,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),0,114,141,127.5,MA,87.0
Supervisory Economist/Statistician (Economics),USD 117K - USD 158K,4.3,US Bureau of Labor Statistics,"Boston, MA",1001 to 5000 Employees,1913,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,117,158,137.5,MA,111.0
"Associate Manager, Data Engineer",USD 86K - USD 118K ,3.8,SC Johnson,"Racine, WI",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD),0,86,118,102.0,WI,138.0
IT Data Analyst,USD 53K - USD 77K ,3.4,Hamamatsu Corporation,"Bridgewater, NJ",1001 to 5000 Employees,--,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),0,53,77,65.0,NJ,
Decision Science Analyst II,USD 68K - USD 93K ,4.2,H-E-B,"San Antonio, TX",10000+ Employees,1905,Company - Private,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,68,93,80.5,TX,119.0
Data Scientist,USD 104K - USD 134K ,3.7,The University of Chicago Medicine,"Chicago, IL",10000+ Employees,1986,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,104,134,119.0,IL,38.0
Data Scientist,USD 47K - USD 86K,4.1,US Air Force Materiel Command,"Los Angeles, CA",10000+ Employees,1947,Government,National Agencies,Government & Public Administration,$10+ billion (USD),0,47,86,66.5,CA,77.0
Data Scientist,USD 83K - USD 128K ,2.9,Center for Family Health and Education,"Panorama City, CA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,0,83,128,105.5,CA,
Data Science Analyst,USD 79K - USD 146K,4.2,Greater New York Mutual Insurance Company,Manhattan,201 to 500 Employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,79,146,112.5,AN,110.0
"Applied Scientist – Medical, Health, & Genomics – Microsoft Health Futures",USD 94K - USD 183K,4.3,Microsoft,"Cambridge, MA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,94,183,138.5,MA,49.0
Data Analyst,USD 56K - USD 94K ,3.8,DHL,"Miami, FL",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),0,56,94,75.0,FL,55.0
Associate Data Engineer,USD 80K - USD 106K ,3.9,The Hanover Insurance Group,"Worcester, MA",5001 to 10000 Employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,80,106,93.0,MA,172.0
Data Scientist,USD 106K - USD 177K,3.7,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,106,177,141.5,TX,191.0
Decision Science Associate,USD 61K - USD 83K ,4.0,Corteva,"Johnston, IA",10000+ Employees,2019,Company - Public,Farm Support,Agriculture,Unknown / Non-Applicable,0,61,83,72.0,IA,5.0
Data Visualization Analyst,USD 67K - USD 89K ,4.0,Infinite Legacy,"Baltimore, MD",201 to 500 Employees,2023,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,Unknown / Non-Applicable,0,67,89,78.0,MD,1.0
Data Scientist,USD 79K - USD 118K ,4.9,Devfi,"Columbus, OH",51 to 200 Employees,2012,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),0,79,118,98.5,OH,12.0
Data Scientist,USD 99K - USD 129K,4.3,Provident Credit Union,"Redwood Shores, CA",201 to 500 Employees,1950,Nonprofit Organization,Investment & Asset Management,Financial Services,$25 to $100 million (USD),0,99,129,114.0,CA,74.0
"Data Scientist, Creators",USD 160K - USD 215K,4.8,Notion,"New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,160,215,187.5,NY,8.0
"Vice President, PGS AI Data Analytics Leader",USD 239K - USD 399K,4.0,Pfizer,"New York, NY",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,239,399,319.0,NY,175.0
Data Scientist,USD 85K - USD 132K ,4.4,"Postal.io, Inc.","San Luis Obispo, CA",51 to 200 Employees,2019,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,0,85,132,108.5,CA,5.0
Data Scientist,USD 140K,3.6,NAVEX Global,"Lake Oswego, OR",1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,140,140,140.0,OR,12.0
Artificial Intelligence/ Machine Learning (AI/ML) Engineering entry level opportunity,USD 107K - USD 151K ,3.8,Verizon,"Basking Ridge, NJ",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),0,107,151,129.0,NJ,24.0
"Director, Business Intelligence & Data Strategy",USD 155K - USD 214K,3.7,LogicMonitor,"Santa Barbara, CA",1001 to 5000 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,155,214,184.5,CA,17.0
Data Scientist,USD 82K - USD 126K ,3.7,ADM Associates,"Reno, NV",1 to 50 Employees,1979,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),0,82,126,104.0,NV,45.0
Data Scientist I,USD 85K - USD 117K,3.6,City of Minneapolis,"Minneapolis, MN",1001 to 5000 Employees,1867,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,0,85,117,101.0,MN,157.0
Senior Data Scientist,USD 160K - USD 210K,3.9,UBS,"New York, NY",10000+ Employees,1862,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),0,160,210,185.0,NY,162.0
Data Scientist,USD 118K - USD 163K ,3.7,Surya Systems,"San Francisco, CA",1 to 50 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,118,163,140.5,CA,26.0
Data Analyst & Reporting Specialist,USD 69K - USD 103K ,3.3,PROVIDE A RIDE,"Cleveland, OH",201 to 500 Employees,1989,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,0,69,103,86.0,OH,35.0
"Director, Data Science",USD 124K - USD 172K ,4.1,Dolby,"Atlanta, GA",1001 to 5000 Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),0,124,172,148.0,GA,59.0
Lead Data Scientist - GenAI,USD 155K - USD 224K,3.9,BOEING,"Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,155,224,189.5,WA,108.0
decision scientist sr– data visualization,USD 120K - USD 212K,3.6,Starbucks,"Seattle, WA",10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),0,120,212,166.0,WA,53.0
Supply Chain Data Scientist,USD 123K - USD 185K,4.1,INTEL,"Folsom, CA",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,123,185,154.0,CA,56.0
Senior Business and Data Analyst,USD 108K - USD 200K,3.8,Aristocrat,"Las Vegas, NV",5001 to 10000 Employees,1953,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),0,108,200,154.0,NV,71.0
Computational and Data Science Research Specialist 3,USD 7K - USD 15K,4.2,UCLA,"Los Angeles, CA",1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,7,15,11.0,CA,105.0
